project,category,control_id,expected,detected,match,overall_score
llm01_prompt_injection,LLM01,PS-01,none,none,exact,7.0
llm01_prompt_injection,LLM01,PS-02,none,none,exact,7.0
llm01_prompt_injection,LLM01,PS-03,none,none,exact,7.0
llm01_prompt_injection,LLM01,PS-07,none,none,exact,7.0
llm02_insecure_output,LLM02,OW-02,none,none,exact,0.3
llm02_insecure_output,LLM02,DP-03,none,none,exact,0.3
llm03_training_poisoning,LLM03,MS-02,none,none,exact,12.6
llm03_training_poisoning,LLM03,SC-01,none,intermediate,over,12.6
llm03_training_poisoning,LLM03,SC-02,none,none,exact,12.6
llm04_model_dos,LLM04,OW-04,none,none,exact,3.4
llm04_model_dos,LLM04,BT-05,none,none,exact,3.4
llm05_supply_chain,LLM05,SC-01,none,none,exact,9.3
llm05_supply_chain,LLM05,SC-02,none,none,exact,9.3
llm05_supply_chain,LLM05,SC-03,none,intermediate,over,9.3
llm05_supply_chain,LLM05,MS-06,none,none,exact,9.3
llm06_sensitive_info,LLM06,DP-01,none,none,exact,8.7
llm06_sensitive_info,LLM06,DP-02,none,none,exact,8.7
llm06_sensitive_info,LLM06,OW-06,none,none,exact,8.7
llm07_insecure_plugin,LLM07,OW-07,none,none,exact,7.0
llm07_insecure_plugin,LLM07,PS-03,none,none,exact,7.0
llm08_excessive_agency,LLM08,OW-08,none,none,exact,3.4
llm08_excessive_agency,LLM08,BT-01,none,none,exact,3.4
llm08_excessive_agency,LLM08,GV-01,none,none,exact,3.4
llm09_overreliance,LLM09,OW-09,none,none,exact,3.4
llm09_overreliance,LLM09,HM-02,none,advanced,over,3.4
llm09_overreliance,LLM09,HM-03,none,none,exact,3.4
llm10_model_theft,LLM10,OW-10,none,none,exact,12.8
llm10_model_theft,LLM10,MS-01,none,none,exact,12.8
llm10_model_theft,LLM10,BT-05,none,none,exact,12.8
