project,category,tool,precision,recall,f1,tp,fp,fn
llm01_prompt_injection,LLM01,aisec,0.294,1.0,0.455,5,12,0
llm01_prompt_injection,LLM01,semgrep,0,0.0,0,0,0,5
llm01_prompt_injection,LLM01,bandit,1.0,0.2,0.333,1,0,4
llm02_insecure_output,LLM02,aisec,0.182,0.286,0.222,2,9,5
llm02_insecure_output,LLM02,semgrep,0.667,0.286,0.4,2,1,5
llm02_insecure_output,LLM02,bandit,0.75,0.857,0.8,6,2,1
llm03_training_poisoning,LLM03,aisec,0.333,0.2,0.25,1,2,4
llm03_training_poisoning,LLM03,semgrep,0,0.0,0,0,0,5
llm03_training_poisoning,LLM03,bandit,0.5,0.6,0.545,3,3,2
llm04_model_dos,LLM04,aisec,0.375,1.0,0.545,6,10,0
llm04_model_dos,LLM04,semgrep,0,0.0,0,0,0,6
llm04_model_dos,LLM04,bandit,0,0.0,0,0,0,6
llm05_supply_chain,LLM05,aisec,0.714,0.714,0.714,5,2,2
llm05_supply_chain,LLM05,semgrep,0,0.0,0,0,0,7
llm05_supply_chain,LLM05,bandit,0.5,0.857,0.632,6,6,1
llm06_sensitive_info,LLM06,aisec,0.417,0.714,0.526,5,7,2
llm06_sensitive_info,LLM06,semgrep,0,0.0,0,0,0,7
llm06_sensitive_info,LLM06,bandit,1.0,0.429,0.6,3,0,4
llm07_insecure_plugin,LLM07,aisec,0.6,0.429,0.5,3,2,4
llm07_insecure_plugin,LLM07,semgrep,1.0,0.143,0.25,1,0,6
llm07_insecure_plugin,LLM07,bandit,0.833,0.714,0.769,5,1,2
llm08_excessive_agency,LLM08,aisec,0.2,1.0,0.333,6,24,0
llm08_excessive_agency,LLM08,semgrep,1.0,0.333,0.5,2,0,4
llm08_excessive_agency,LLM08,bandit,1.0,0.5,0.667,3,0,3
llm09_overreliance,LLM09,aisec,0.333,1.0,0.5,7,14,0
llm09_overreliance,LLM09,semgrep,0,0.0,0,0,0,7
llm09_overreliance,LLM09,bandit,0,0.0,0,0,0,7
llm10_model_theft,LLM10,aisec,0.429,0.857,0.571,6,8,1
llm10_model_theft,LLM10,semgrep,0,0.0,0,0,0,7
llm10_model_theft,LLM10,bandit,0,0.0,0,0,0,7
